ratebeer_id,name
1,Bohemian Pilsener
2,Kölsch
3,Sweet Stout
4,Brown Ale
5,Belgian Ale
6,Abbey Tripel
7,Belgian White &#40;Witbier&#41;
8,Mild Ale
9,Pale Lager
10,Imperial/Double IPA
11,Sour Ale/Wild Ale
12,Traditional Ale
13,Heller Bock
14,Porter
15,Bitter
16,Spice/Herb/Vegetable
17,Imperial Stout
18,Belgian Strong Ale
19,Golden Ale/Blond Ale
20,Scottish Ale
21,Stout
22,Scotch Ale
23,Abbey Dubbel
24,Saison
25,Dunkel
26,American Pale Ale
27,Altbier
28,Wheat Ale
29,Abt/Quadrupel
30,Oktoberfest/Märzen
31,Baltic Porter
32,Premium Lager
33,Imperial/Strong Porter
34,Smoked
35,Fruit Beer
36,Amber Ale
37,English Pale Ale
38,Pilsener
39,German Hefeweizen
40,Premium Bitter/ESB
41,Cream Ale
42,California Common
43,Vienna
44,Barley Wine
45,Doppelbock
46,Saké - Ginjo
47,American Strong Ale
48,Dunkler Bock
49,Black IPA
50,Strong Pale Lager/Imperial Pils
51,Irish Ale
52,Eisbock
53,Dunkelweizen
54,Cider
55,Dortmunder/Helles
56,Classic German Pilsener
57,Weizen Bock
58,Zwickel/Keller/Landbier
59,Saké - Junmai
60,Saké - Nigori
61,Saké - Daiginjo
62,Mead
63,Perry
64,Schwarzbier
65,Low Alcohol
66,Berliner Weisse
67,Specialty Grain
68,Ice Cider/Perry
69,English Strong Ale
70,Dry Stout
71,Old Ale
72,Lambic - Fruit
73,Bière de Garde
74,Foreign Stout
75,American Dark Lager
76,Malt Liquor
77,German Kristallweizen
78,Lambic - Unblended
79,India Pale Ale
